ID,TITLE,TYPE,CTX_PREVIEW,NOTE,WEB,RAW_FILE_PATH,CREATED_AT
RES-20260818-0001,Statistical Arbitrage in the U.S. Equities Market,FILE_PDF,"--- [Page 1 / 47] --- Statistical Arbitrage in the U.S. Equities Market Marco Avellaneda ∗† and Jeong-Hyun Lee ∗ First draft: July 11, 2008 This version: June 15, 2009 Abstract We study model-driven s...","🎯 1. CHỦ ĐỀ & MỤC TIÊU CỐT LÕI: | • Nguồn dữ liệu: FILE_PDF | Tiêu đề: Statistical Arbitrage in the U.S. Equities Market | • Tóm lược bối cảnh: We study model-driven statistical arbitrage in U.S. equities. The trading signals are generated in two ways: using Principal Component Analysis and using sector ETFs. In both cases, we consider the residuals, or idio- syncratic components of stock returns, and model them as mean-reverting processes. This leads naturally to “contrarian” trading sign |  | 💡 2. CÁC PHÁT HIỆN & LUẬN ĐIỂM CỐT LÕI (Key Insights): | • Toàn bộ văn bản đã được ghi nhận và phân loại thành công vào Vault. |  | 📊 3. CHỈ SỐ, CÔNG THỨC & THAM SỐ ĐỊNH LƯỢNG: | • Sharpe ratio of 1 | • Sharpe ratio of PCA-based strategies was only 0 | • drawdown of August 2007 | • beta with the market, and (iii) the mechanism for generating excess return | • beta, the long-short portfolio oscillates near some statistical equilibriu | • return as valuations converge (see Pole (2007) for a comprehensive review on | • loss (PNL) for statistical arbitrage strategies | • return of the “market portfolio” over the same period, ( e |  | 🚀 4. KẾT LUẬN & ĐÚC KẾT THỰC TIỄN: | • Dữ liệu từ FILE_PDF đã được bóc tách toàn diện với 11,361 từ, sẵn sàng cho việc tra cứu và ứng dụng.",FILE:AvellanedaLeeStatArb20090616.pdf,/home/hoai/Alphareserach_agent-codex-alpha-repro-lite-core/alpha-repro-lite/storage/raw_sources/RES-20260818-0001_Statistical_Arbitrage_in_the_U.S._Equities_Market.txt,2026-08-18T14:14:00.420872
RES-20260818-0002,FinRL: Deep Reinforcement Learning Framework to Automate Trading in Quantitative Finance,FILE_PDF,,📌 Nguồn: FILE_PDF | Tiêu đề: FinRL: Deep Reinforcement Learning Framework to Automate Trading in Quantitative Finance | [Văn bản trích xuất quá ngắn hoặc chưa có nội dung để phân tích sâu.],FILE:FinRL Deep Reinforcement Learning Framework to Automate Trading in Quantitative.pdf,/home/hoai/Alphareserach_agent-codex-alpha-repro-lite-core/alpha-repro-lite/storage/raw_sources/RES-20260818-0002_FinRL_Deep_Reinforcement_Learning_Framework_to_Aut.txt,2026-08-18T15:55:59.927902
RES-20260818-0003,FinRL: A Deep Reinforcement Learning Library for,FILE_PDF,"--- [Page 1 / 12] --- FinRL: A Deep Reinforcement Learning Library for Automated Stock Trading in Quantitative Finance Xiao-Yang Liu1∗, Hongyang Yang2,3∗, Qian Chen 4,2, Runjia Zhang 3, Liuqing Yang3,...","🎯 1. CHỦ ĐỀ & MỤC TIÊU CỐT LÕI: | • Nguồn dữ liệu: FILE_PDF | Tiêu đề: FinRL: A Deep Reinforcement Learning Library for | • Tóm lược bối cảnh: As deep reinforcement learning (DRL) has been recognized as an effective ap- proach in quantitative ﬁnance, getting hands-on experiences is attractive to begin- ners. However, to train a practical DRL trading agent that decides where to trade, at what price, and what quantity involves error-prone and arduous development and debugging. In this paper |  | 💡 2. CÁC PHÁT HIỆN & LUẬN ĐIỂM CỐT LÕI (Key Insights): | • Toàn bộ văn bản đã được ghi nhận và phân loại thành công vào Vault. |  | 📊 3. CHỈ SỐ, CÔNG THỨC & THAM SỐ ĐỊNH LƯỢNG: | • return at a state with a certain action | • MACD)Mt∈ Rn and Relative Strength Index (RSI)Rt∈ Rn +, etc | • return when action a is taken at state s and arriving at new state s′ [20], | • Sharpe ratio for periods t ={1, | • return, annualized standard deviation, maximum drawdown ratio, and Sharpe ra | • return 14 | • Sharpe ratio 1 | • drawdown 20 |  | 🚀 4. KẾT LUẬN & ĐÚC KẾT THỰC TIỄN: | • Dữ liệu từ FILE_PDF đã được bóc tách toàn diện với 4,939 từ, sẵn sàng cho việc tra cứu và ứng dụng.",FILE:FinRL A Deep Reinforcement Learning Library for Automated Stock Trading in Quant.pdf,/home/hoai/Alphareserach_agent-codex-alpha-repro-lite-core/alpha-repro-lite/storage/raw_sources/RES-20260818-0003_FinRL_A_Deep_Reinforcement_Learning_Library_for.txt,2026-08-18T15:56:01.411194
RES-20260818-0004,Progresses of Machine Learning in Stock Market Prediction A Comprehensive Model,FILE_PDF,--- [Salvaged Text Streams] --- <!-- Begin Cookie Consent plugin by Silktide - http://silktide.com/cookieconsent --> var evt = e ? e : window.event; var bt = document.getElementById(buttonid); <meta n...,"🎯 1. CHỦ ĐỀ & MỤC TIÊU CỐT LÕI: | • Nguồn dữ liệu: FILE_PDF | Tiêu đề: Progresses of Machine Learning in Stock Market Prediction A Comprehensive Model | • Tóm lược bối cảnh: <!-- Begin Cookie Consent plugin by Silktide - http://silktide.com/cookieconsent --> var evt = e ? |  | 💡 2. CÁC PHÁT HIỆN & LUẬN ĐIỂM CỐT LÕI (Key Insights): | • <!-- Begin Cookie Consent plugin by Silktide - http://silktide.com/cookieconsent --> var evt = e ? | • <div style=""padding: 7px 14px !important;""> If you already have a Primoris Account you can use the same username/password here. |  | 📊 3. CHỈ SỐ, CÔNG THỨC & THAM SỐ ĐỊNH LƯỢNG: | • return teste() | • return true | • return loadingClosePopUp(&#39 |  | 🚀 4. KẾT LUẬN & ĐÚC KẾT THỰC TIỄN: | • Dữ liệu từ FILE_PDF đã được bóc tách toàn diện với 958 từ, sẵn sàng cho việc tra cứu và ứng dụng.",FILE:Progresses of Machine Learning in Stock Market Prediction A Comprehensive Model.pdf,/home/hoai/Alphareserach_agent-codex-alpha-repro-lite-core/alpha-repro-lite/storage/raw_sources/RES-20260818-0004_Progresses_of_Machine_Learning_in_Stock_Market_Pre.txt,2026-08-18T15:56:07.518590
RES-20260818-0005,A Lattice Framework for Pricing Display Advertisement Options with the Stochastic,FILE_PDF,"--- [Page 1 / 18] --- A Lattice Framework for Pricing Display Advertisement Options with the Stochastic V olatility Underlying Model Bowei Chena,∗, Jun Wanga aUniversity College London, Gower Street, ...","🎯 1. CHỦ ĐỀ & MỤC TIÊU CỐT LÕI: | • Nguồn dữ liệu: FILE_PDF | Tiêu đề: A Lattice Framework for Pricing Display Advertisement Options with the Stochastic | • Tóm lược bối cảnh: Advertisement (abbreviated ad) options are a recent development in online advertising. Simply, an ad option is a ﬁrst look contract in which a publisher or search engine grants an advertiser a right but not obligation to enter into transactions to purchase impressions or clicks from a speciﬁc ad slot at a pre-speciﬁed price on a speciﬁc delivery da |  | 💡 2. CÁC PHÁT HIỆN & LUẬN ĐIỂM CỐT LÕI (Key Insights): | • Toàn bộ văn bản đã được ghi nhận và phân loại thành công vào Vault. |  | 📊 3. CHỈ SỐ, CÔNG THỨC & THAM SỐ ĐỊNH LƯỢNG: | • Sharpe, 1978) | • Sharpe (1978) initiated the concept of pricing a call option written on an a | • return of an asset is equal to a risk-less bank interest return | • return over the period from time 0 to time 1, u = M{u} 1 /M0 and d = M{d} 1 | • Sharpe (1978) | • Sharpe, W | • CTR = 0.3 | • condition = 0 |  | 🚀 4. KẾT LUẬN & ĐÚC KẾT THỰC TIỄN: | • Dữ liệu từ FILE_PDF đã được bóc tách toàn diện với 10,443 từ, sẵn sàng cho việc tra cứu và ứng dụng.",FILE:A lattice framework for pricing display advertisement options with the stochasti.pdf,/home/hoai/Alphareserach_agent-codex-alpha-repro-lite-core/alpha-repro-lite/storage/raw_sources/RES-20260818-0005_A_Lattice_Framework_for_Pricing_Display_Advertisem.txt,2026-08-18T15:56:17.075907
RES-20260818-0006,"Deep Reinforcement Learning Strategies in Finance: Insights into Asset Holding,",FILE_PDF,"--- [Page 1 / 7] --- Deep Reinforcement Learning Strategies in Finance: Insights into Asset Holding, Trading Behavior, and Purchase Diversity Regular Research Paper (CSCE-ICAI’24) Alireza Mohammadshaf...","🎯 1. CHỦ ĐỀ & MỤC TIÊU CỐT LÕI: | • Nguồn dữ liệu: FILE_PDF | Tiêu đề: Deep Reinforcement Learning Strategies in Finance: Insights into Asset Holding, | • Tóm lược bối cảnh: Tài liệu nghiên cứu trích xuất từ nguồn [FILE_PDF]: Deep Reinforcement Learning Strategies in Finance: Insights into Asset Holding,. |  | 💡 2. CÁC PHÁT HIỆN & LUẬN ĐIỂM CỐT LÕI (Key Insights): | • Toàn bộ văn bản đã được ghi nhận và phân loại thành công vào Vault. |  | 📊 3. CHỈ SỐ, CÔNG THỨC & THAM SỐ ĐỊNH LƯỢNG: | • return, potentially improving the risk-adjusted returns of their in- vestmen | • MACD), which is s a popular technical indi- cator used in financial analys | • RSI 30) which is, is a momen- tum oscillator that measures the speed and | • RSI is calculated based on the following formula: RSI = 100− 100 1 + Aver | • loss is the sum of losses over the specified period over Number of periods | • RSI typically uses a 14-period timeframe for its calculations, but trader | • RSI ranges from 0 to 100 and is plotted as a line graph | • RSI value fluctuates between these two extremes, with readings above 70 t |  | 🚀 4. KẾT LUẬN & ĐÚC KẾT THỰC TIỄN: | • Dữ liệu từ FILE_PDF đã được bóc tách toàn diện với 4,975 từ, sẵn sàng cho việc tra cứu và ứng dụng.",FILE:Deep Reinforcement Learning Strategies in Finance Insights into Asset Holding Tr.pdf,/home/hoai/Alphareserach_agent-codex-alpha-repro-lite-core/alpha-repro-lite/storage/raw_sources/RES-20260818-0006_Deep_Reinforcement_Learning_Strategies_in_Finance.txt,2026-08-18T15:56:24.187559
RES-20260818-0007,International Trade Finance from the Origins to the Present:,FILE_PDF,"--- [Page 1 / 34] --- 1 International Trade Finance from the Origins to the Present: Market Structures, Regulation and Governance Olivier Accominotti and Stefano Ugolini Chapter prepared for the Oxfor...","🎯 1. CHỦ ĐỀ & MỤC TIÊU CỐT LÕI: | • Nguồn dữ liệu: FILE_PDF | Tiêu đề: International Trade Finance from the Origins to the Present: | • Tóm lược bối cảnh: This chapter presents a history of international trade finance – the oldest domain of international finance – from its emergence in the Middle Ages up to today. We describe how the structure and governance of the global trade finance market changed over time and how trade credit instruments evolved. Trade finance products initially consisted of idi |  | 💡 2. CÁC PHÁT HIỆN & LUẬN ĐIỂM CỐT LÕI (Key Insights): | • Toàn bộ văn bản đã được ghi nhận và phân loại thành công vào Vault. |  | 📊 3. CHỈ SỐ, CÔNG THỨC & THAM SỐ ĐỊNH LƯỢNG: | • return was indexed on Venetian interest rates (De Roover 1974) | • Return to Jekyll Island , New York: Cambridge University Press, pp |  | 🚀 4. KẾT LUẬN & ĐÚC KẾT THỰC TIỄN: | • Dữ liệu từ FILE_PDF đã được bóc tách toàn diện với 14,013 từ, sẵn sàng cho việc tra cứu và ứng dụng.",FILE:International Trade Finance from the Origins to the Present Market Structures Re.pdf,/home/hoai/Alphareserach_agent-codex-alpha-repro-lite-core/alpha-repro-lite/storage/raw_sources/RES-20260818-0007_International_Trade_Finance_from_the_Origins_to_th.txt,2026-08-18T15:56:26.520828
RES-20260818-0008,Optimal Trading of Microstructure Mean Reversion,FILE_PDF,"--- [Page 1 / 26] --- Optimal Trading of Microstructure Mean Reversion Lucas Rabechini Amaral ∗ This version: July 2026 Abstract At the scale of seconds the observed mid carries a stationary, mean-rev...","🎯 1. CHỦ ĐỀ & MỤC TIÊU CỐT LÕI: | • Nguồn dữ liệu: FILE_PDF | Tiêu đề: Optimal Trading of Microstructure Mean Reversion | • Tóm lược bối cảnh: At the scale of seconds the observed mid carries a stationary, mean-reverting error around a latent efficient price. We build an order book whose own flow produces that error, and solve for the trading rule that maximises the long-run average profit rate, net of the bid–ask spread. In a liquid large-tick asset the queue at the touch is deep. The sp |  | 💡 2. CÁC PHÁT HIỆN & LUẬN ĐIỂM CỐT LÕI (Key Insights): | • Toàn bộ văn bản đã được ghi nhận và phân loại thành công vào Vault. |  | 📊 3. CHỈ SỐ, CÔNG THỨC & THAM SỐ ĐỊNH LƯỢNG: | • yield: the parity lock collapses the state to one coordinate, and the posit | • loss is recovered anywhere in[0 | • Sharpe variant that [9] solves for the OU asset, would price the variance of | • setsS= 2δ. One direction is | • tight = 2αs +αo for the tight | • zero = 0.25 = 0.5 = 1.0 Figure | • andSt = 2δ iff kt is even. Th | • att = 0by construction and |  | 🚀 4. KẾT LUẬN & ĐÚC KẾT THỰC TIỄN: | • Dữ liệu từ FILE_PDF đã được bóc tách toàn diện với 13,517 từ, sẵn sàng cho việc tra cứu và ứng dụng.",FILE:Optimal Trading of Microstructure Mean Reversion.pdf,/home/hoai/Alphareserach_agent-codex-alpha-repro-lite-core/alpha-repro-lite/storage/raw_sources/RES-20260818-0008_Optimal_Trading_of_Microstructure_Mean_Reversion.txt,2026-08-18T16:05:12.330725
RES-20260818-0009,"Manipulation, Informed Trading, and Regulation in Leveraged Event-Linked Markets",FILE_PDF,"--- [Page 1 / 10] --- Manipulation, Informed Trading, and Regulation in Leveraged Event-Linked Markets Maksym Nechepurenko ∗ July 19, 2026 Abstract Leverage does not create manipulation or informed tr...","🎯 1. CHỦ ĐỀ & MỤC TIÊU CỐT LÕI: | • Nguồn dữ liệu: FILE_PDF | Tiêu đề: Manipulation, Informed Trading, and Regulation in Leveraged Event-Linked Markets | • Tóm lược bối cảnh: Leverage does not create manipulation or informed trading in event markets, but it changes their economics. This paper separates four conduct channels that are often conflated: trading that distorts the quoted market price, conduct that changes the real- world event, interference with the resolution process, and informed trading that exploits non-p |  | 💡 2. CÁC PHÁT HIỆN & LUẬN ĐIỂM CỐT LÕI (Key Insights): | • Toàn bộ văn bản đã được ghi nhận và phân loại thành công vào Vault. |  | 📊 3. CHỈ SỐ, CÔNG THỨC & THAM SỐ ĐỊNH LƯỢNG: | • return to a successful directional advantage scales with gross exposure whil | • loss-bearing capital | • loss identities in Paper 1 | • Sharpe ratios are preserved | • return and variance | • loss channel, as developed in the Axient work, but it does not remove even | • Loss-bearing capital | • loss, oracle error, custody failure, and unresolved disputes? 9 |  | 🚀 4. KẾT LUẬN & ĐÚC KẾT THỰC TIỄN: | • Dữ liệu từ FILE_PDF đã được bóc tách toàn diện với 3,624 từ, sẵn sàng cho việc tra cứu và ứng dụng.",FILE:Manipulation Informed Trading and Regulation in Leveraged Event-Linked Markets.pdf,"/home/hoai/Alphareserach_agent-codex-alpha-repro-lite-core/alpha-repro-lite/storage/raw_sources/RES-20260818-0009_Manipulation,_Informed_Trading,_and_Regulation_in.txt",2026-08-18T16:05:13.133378
RES-20260818-0010,NBER WORKING PAPER SERIES,FILE_PDF,--- [Page 1 / 48] --- NBER WORKING PAPER SERIES MEAN REVERSION IN STOCK PRICES: EVIDENCE AND IMPLICATIONS James M. Poterba Lawrence H. Summers Working Paper No. 2343 NATIONAL BUREAU OF ECONOMIC RESEAR...,"🎯 1. CHỦ ĐỀ & MỤC TIÊU CỐT LÕI: | • Nguồn dữ liệu: FILE_PDF | Tiêu đề: NBER WORKING PAPER SERIES | • Tóm lược bối cảnh: This paper analyzes the statistical evidence bearing on whether transitory components account for a large fraction of the variance in common stock returns. The first part treats methodological issues involved in testing for transitory return components. It demonstrates that variance ratios are among the most powerful tests for detecting mean revers |  | 💡 2. CÁC PHÁT HIỆN & LUẬN ĐIỂM CỐT LÕI (Key Insights): | • Toàn bộ văn bản đã được ghi nhận và phân loại thành công vào Vault. |  | 📊 3. CHỈ SỐ, CÔNG THỨC & THAM SỐ ĐỊNH LƯỢNG: | • return components | • yield (p | • return in montht | • yield a variance ratio below one | • return variance to k times the one-month return variance is approximately eq | • return variance should variability of returns one-year period | • return horizon | • return movements is determined by the relative magnitudes ofand We perform M |  | 🚀 4. KẾT LUẬN & ĐÚC KẾT THỰC TIỄN: | • Dữ liệu từ FILE_PDF đã được bóc tách toàn diện với 11,554 từ, sẵn sàng cho việc tra cứu và ứng dụng.",FILE:Mean Reversion in Stock Prices Evidence and Implications.pdf,/home/hoai/Alphareserach_agent-codex-alpha-repro-lite-core/alpha-repro-lite/storage/raw_sources/RES-20260818-0010_NBER_WORKING_PAPER_SERIES.txt,2026-08-18T16:05:17.261218
